transaction_id,user_id,transaction_date,transaction_amount,location,card_number
1,101,2023-10-26 10:00:00,100.00,New York,1234567890123456
2,102,2023-10-26 11:00:00,50.00,London,9876543210987654
3,101,2023-10-26 12:00:00,5000.00,Tokyo,5678123490123456
4,103,2023-10-26 13:00:00,20.00,Paris,4321987610987654
5,102,2023-10-26 14:00:00,1000.00,New York,1234987656781098
6,101,2023-10-27 10:00:00,150.00,New York,6789123456789012
7,104,2023-10-27 11:00:00,10000.00,Mumbai,9012345678901234
8,105,2023-10-27 12:00:00,30.00,Berlin,3456789012345678
9,101,2023-10-28 10:00:00,100.00,New York,5678901234561234
10,102,2023-10-28 11:00:00,50.00,London,9876123454329012
